titulo,autores,afiliaciones,palabras_clave,tematica,referencias,id_articulo,id
Modelos Matemáticos en el análisis de la COVID-19,Miriam Nicado García|Aymée Marrero Severo,Universidad de La Habana,COVID-19|Modelos Matemáticos|Epidemiología,Matemáticas aplicadas a la Epidemiología y COVID-19,,CMVol34No1-000-001,
Modelos SIR para el seguimiento de la COVID-19 en Cuba,Raúl Guinovart Díaz|Isidro A. Abelló Ugalde|Wilfredo Morales Lezca|Julian Bravo Castillero|Reinaldo Rodríguez Ramos|David Guinovart Sanjuán,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba|Centro de Estudios para el Perfeccionamiento de la Educación Superior , Universidad de La Habana, La Habana, Cuba|Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en Yucatán. Universidad Nacional Autónoma de México|Department of Mathematics, University of Central Florida, 4393 Andromeda Loop N, Orlando, FL 32816, USA",Endemia|COVID-19|modelos SIR|número reproductivo básico|rebrote,Modelos matemáticos para la epidemiología de COVID-19 en Cuba,,CMVol34No1-001-012,
Modelo SEAIR con percepción de riesgo para la CoVid19. Caso Cuba,Aymée Marrero Severo|Daniel Menció Padrón|Gabriela Bayolo Soler,"Departamento de Matemática, Universidad de la Habana, La Habana, Cuba",Modelo SEAIR|CoVid19|Número Reproductivo Básico|tasa de transmisión,Matemáticas aplicadas a la epidemiología de CoVid19,,CMVol34No1-013-018,
Modelos fenomenológicos aplicados al estudio de la COVID-19 en Cuba,Jose Alejandro Mesejo-Chiong|Angela Mireya León-Mecías,"Departamento de Matemática Aplicada, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",COVID-19|Modelos fenomenológicos|Crecimiento de epidemias,Epidemiología matemática y modelado de COVID-19 en Cuba,5|11|12|15|16|27|29|[8]|[3]|[10]|[17]|[2]|[13]|[14]|[20]|[26]|[31]|[30]|[4]|[2],CMVol34No1-019-032,
Modelando la Covid-19 con solo una ecuación,Celia T. González González|Mariano Rodríguez Ricard,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba",SIR model|dinámica de epidemia,Modelos matemáticos para la Covid-19,,CMVol34No1-033-036,
Predicciones en tiempo real de la Covid-19 en Cuba y sus provincias: Modelos fenomenológicos dinámicos y un modelo no lineal con efectos mixtos,Carlos R. Sebrango Rodríguez|Lizet Sánchez Valdés|Waldemart Baldoquin|Osvaldo Norman Montenegro|Raúl Guinovart,"Universidad de Sancti Spíritus ""José Martí Pérez"", Centro de Estudios de Energía y Procesos Industriales (CEEPI), Cuba|Centro de Inmunología Molecular, La Habana, Cuba|Instituto de Medicina Tropical IPK, La Habana, Cuba|Centro de Bioactivos Químicos, UCLV, Villa Clara, Cuba|Universidad de La Habana, Facultad Matemática y computación, Cuba",Covid-19|modelos fenomenológicos dinámicos|modelo no lineal con efectos mixtos,Modelado de brotes de enfermedades infecciosas y predicciones de Covid-19 en Cuba,"4|7, 19, 6|14, 20, 11, 9, 10, 8|3, 2, 5, 4, 1|17",CMVol34No1-037-048,
Estimación de infecciones indocumentadas de Covid-19 en Cuba a través de un método híbrido mecano-estadístico,Gabriel Gil|Alejandro Lage-Castellanos,"Departamento de Física Teórica, Instituto de Cibernética, Matemática y Física (ICIMAF), La Habana, Cuba|Departamento de Física Teórica, Faculta de Física, Universidad de La Habana, La Habana, Cuba",Covid-19|Cuba|compartment epidemiological models|Bayesian inference methods,Modelado estadístico de Covid-19 en Cuba,,CMVol34No1-049-054,
Aplicación de modelos de crecimiento sigmoidal en el pronóstico en tiempo real del brote de la Covid-19 en Villa Clara,Osvaldo Norman Montenegro|David Rodríguez Fernández|Carlos de la Caridad Rodríguez Fadragas|Carlos Sebrango Rodríguez|Yanet Rodríguez Sarabia|Roxana Pérez García|Luis B. Lecha Estela|María del Carmen Velasco Gómez|Bárbara Rodríguez,"Centro de Bioactivos Químicos, Villa Clara, Cuba|Departamento de Física, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba|Centro de Estudios de Energía y Procesos Industriales CEEPI, Sancti Spiritus, Cuba|Departamento de Ciencias de la Computación, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba|Departamento de Matemática, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba|Centro Meteorológico de la Isla de la Juventud, INSMET, Isla de la Juventud, Cuba|Delegación del CITMA en Villa Clara, Villa Clara, Cuba|Centro Provincial de Higiene, Epidemiología y Microbiología, Villa Clara, Cuba",Covid-19|modelos de crecimiento sigmoidal|SIR|pronósticos en tiempo real,Dinámica de transmisión del SARS CoV-2 en Villa Clara utilizando modelos matemáticos,6|9|14|17|20,CMVol34No1-055-065,
"Evolución de la CoVid19 a partir de un Modelo SAIRV con tasa de transmisión variable ante precepción de riesgo, cuarentena y hospitalización. Caso Cuba",Daniel Menció Padrón|Gabriela Bayolo Soler|Aymée Marrero Severo,"Departamento de Matemática, Universidad de la Habana, La Habana, Cuba",Modelo SAIRV|CoVid19|cuarentena|hospitalización|tasa de transmisión,Matemáticas aplicadas a la epidemiología de la COVID-19,5|[7]|[6],CMVol34No1-067-072,
Modelos SIR modificados para la evolución del COVID-19,Nana Cabo Bizet|Alejandro Cabo Montes de Oca,"Departamento de Física, DCI, Campus León, Universidad de Guanjuato, CP. 37150, León, Guanajuato, México|Departamento de Física Teórica, Instituto de Cibernética, Matemática y Física, Calle E, No. 309, Vedado, La Habana, Cuba",suceptibles-infectados-recuperados|tasa de contagio variable|tasa de recuperación,Modelos matemáticos para la evolución del COVID-19 en Cuba,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22",CMVol34No1-073-087,
Los Procesos de Ramiﬁcación y su Aplicación al Estudio de la Transmisión de la COVID-19 en Cuba,Marelys Crespo Navas|Pedro Pablo de la Cruz Cobas|Ernesto Quevedo Caballero|José E. Valdés Castro,"Departamento de Matemática Aplicada, Universidad de La Habana, La Habana, Cuba|Universidad de La Habana, La Habana, Cuba",Covid-19|Procesos de Ramiﬁcación|Simulación,Modelado y simulación de la transmisión de COVID-19 en Cuba utilizando procesos de ramiﬁcación,,CMVol34No1-089-097,CMVol34No1-089-097
COVID-19 en Cuba: Estimación del número de camas diarias que se requieren durante un período de la epidemia,Sira M. Allende Alonso|Gemayqzel Bouza Allende|William L. Sariol-Nuñez,"Departamento de Matemática Aplicada, Universidad de La Habana, Cuba",estimación|logística|número de camas,"COVID-19, estimación de camas hospitalarias en Cuba",1|2|3|4|5|6,CMVol34No1-105-111,
A Cloud Delphi Application to the Subjective Perception of COVID-19 Peak,Miguel Cruz Ramírez,"Departamento de Matemática, Universidad de Holguín, Cuba",COVID-19|Cloud Delphi|percepción|gaussian mixture distribution|package R,Percepción subjetiva del pico de la COVID-19 en Cuba,,CMVol34No1-113-122,
Predicción a corto plazo del comportamiento de la COVID-19 en Cuba: Un análisis desde la perspectiva del Aprendizaje Automático,Héctor González|Carlos Morell|Yanet Rodríguez,"Facultad 2, Universidad de las Ciencias Informáticas, La Habana, Cuba|Centro de Investigaciones de la informática, Universidad Central ""Marta Abreu"" de Las Villas, Villa Clara, Cuba|Departamento de Ciencias de la computación, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba",COVID-19|Cuba|Aprendizaje Automático|Predicción|Regresión Lineal con Penalización,Predicción de COVID-19 en Cuba utilizando Aprendizaje Automático,https://covid19cubadata.github.io/#cuba,CMVol34No1-123-127,CMVol34No1-123-127
A multilevel model for the prediction of the total confirmed cases of COVID-19 in Cuba: comparison with other countries,Minerva Montero Díaz,"Dpto. de Matemática, Instituto de Cibernética, Matemática y Física, La Habana,Cuba",COVID-19|Coronavirus|Multilevel models|Prediction,Modeling and prediction of COVID-19 cases in Cuba,"13|[7]|[2]|[6]|[4, 11, 8]|[12, 10]|[9]",CMVol34No1-129-136,
Modelo matemático de la interacción virus-sistema inmune con activación de células NK,Annia Ruiz Sánchez|Erick Eduardo Ramirez-Torres|Antonio Rafael Selva Castañeda|Sandy Sánchez Domínguez|Roberto Labrada-Claro|Marlon Cobas-Batista|Luis Enrique Bergues Cabrales|Luis Eugenio Valdés García|Isabel Martén Powell|Antonio Iván Ruiz Chaveco,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba|Departamento de Ingeniería Biomédica, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba|Departamento de Telecomunicaciones, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba|Dirección de Ciencia e Innovación Tecnológica, Centro Nacional de Electromagnetismo Aplicado, Universidad de Oriente, Santiago de Cuba, Cuba|Centro Provincial de Higiene, Epidemiología y Microbiología, Santiago de Cuba, Cuba|Universidad de Ciencias Médicas de Santiago de Cuba, Cuba",Célula NK|Modelo Matemático|Sistema Inmune|Virus,Mathematical modeling of virus-immune system interaction with NK cell activation,,CMVol34No1-137-142,
Análisis de la epidemia de COVID-19 en Cuba por medio del seguimiento de los pacientes infectados y sus contactos,Mijail Borges Quintana|Eloy Rafael Oliveros Domínguez,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Santiago de Cuba, Cuba|Dirección de Informatización, Universidad de Oriente, Santiago de Cuba, Cuba",COVID-19 en Cuba|locality comparison|comparison measures,Epidemiología de COVID-19 en Cuba,,CMVol34No1-143-151,
CMVol35No1-2021-pp1-pp8,Yavseny Roque Hernández|DraC Teresa Bernarda Pagés López|Yaidir Mustelier Ruiz,"Instituto de Criptografía, Facultad de Matemática y Computación, Universidad de la Habana",Seguridad|Servicios|Certificados,Infraestructura de clave pública para garantizar la seguridad de los datos intercambiados en Internet,"Interior, 2016|[Shirey, 2007]|[Kuhn, 2001]|[Lapuente, 2016]|[Suranjan Choudhury, 2014]",CMVol35No1-2021-pp1-pp8,
Mejorando la seguridad de la implementación de la multiplicación escalar para curvas generales en forma de Weierstrass en Bouncy Castle,Yessica C. Castaño Sainz|Carlos M. Legón Pérez|Teresa B. Pagés López,"Departamento de Criptografía, Universidad de La Habana, La Habana, Cuba",Curvas elípticas|multiplicación escalar|tiempo constante|libre de excepciones|fórmula completa,Implementación segura de la multiplicación escalar para curvas elípticas en Bouncy Castle,[42]|[31]|[21]|[11]|[26]|[29]|[7]|[36],CMVol35No1-2021-pp9-pp19 (1),
Mejorando la seguridad de la implementación de la multiplicación escalar para curvas generales en forma de Weierstrass en Bouncy Castle,Yessica C. Castaño Sainz|Carlos M. Legón Pérez|Teresa B. Pagés López,"Departamento de Criptografía, Universidad de La Habana, La Habana, Cuba",Curvas elípticas|multiplicación escalar|tiempo constante|libre de excepciones|fórmula completa,Implementación segura de la multiplicación escalar para curvas elípticas en Bouncy Castle,[42]|[31]|[21]|[11]|[26]|[29]|[7]|[36],CMVol35No1-2021-pp9-pp19,
Cryptanalysis of block ciphers by means of the Genetic algorithm,Miguel A. Borges Trenard|Mijail Borges Quintana|Adrian Donatien Charón,"Departamento de Educación en Matemática, Universidad Antonio Nariño, Bogota, Colombia|Departamento de Matemática, Universidad de Oriente, Santiago de Cuba, Cuba",Cryptanalyisis|Block ciphers|Genetic algorithm,Cryptanalysis of block ciphers using Genetic Algorithm,12|[5]|[6]|[1]|[10]|[7]|[2]|[8]|[3],CMVol35No1-2021-pp21-pp26,
Midiendo la legitimidad del usuario autenticado en sistemas de Autenticaci´n Gr´aﬁca ‘Cued Recall’,Pedro Enrique Navarro Sosa|Carlos Miguel Leg´on P´erez|Raisa Socorro Llanes,"Instituto de Criptograf´ıa, Universidad de La Habana|Facultad de Ingenier´ıa Inform´atica, Universidad Tecnol´ogica de La Habana",Autenticaci´on Gr´aﬁca|Modelo Probabil´ıstico|Cued Recall,Autenticación Gráfica y Modelos Probabilísticos,ID del Artículo: CMVol35No1-2021-pp27-pp35,CMVol35No1-2021-pp27-pp35,
Criptoanálisis algebraico a cifrados en bloques ligeros,Roberto Labrada Claro|Miguel Angel Borges Trenard|Mijail Borges Quintana,"Dirección de Criptografía, Ministerio del Interior, Santiago de Cuba, Cuba|Departamento de Matemática, Universidad de Oriente, Santiago de Cuba, Cuba",cifrados en bloques ligeros — criptoanálisis algebraico — base de Gröbner,Criptografía Ligera y Cifrados en Bloques Ligeros,[3]|[6]|[1],CMVol35No1-2021-pp37-pp40,
Integración de curvas elípticas criptográﬁcamente seguras al EJBCA,Arlet Ponce Alvarez|Teresa B. Pagés López|Yessica C. Castaño Sainz|Camilo Denis González,"Instituto de Criptografía, Universidad de La Habana, Cuba",criptografía asimétrica|curvas elípticas|software EJBCA|biblioteca Bouncy Castle,Criptografía y curvas elípticas en software EJBCA,12,CMVol35No1-2021-pp41-pp45,
Análisis y diseño de variantes del criptoanálisis a cifrados en bloques mediante el Algoritmo Genético,Osmani Tito Corrioso|Miguel A. Borges Trenard|Mijail Borges Quintana,"Departamento de Matemática, Facultad de Ciencias de la Educación, Universidad de Guantánamo, Cuba|Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba",Algoritmo Genético|grupo cociente|criptoanálisis|AES(t),"Criptografía, Algoritmo Genético, Cifrados en bloques",14|[6]|[8]|[1]|[7]|[2]|[10]|[4]|[11]|[13]|[12],CMVol35No1-2021-pp47-pp53 (1),
Análisis y diseño de variantes del criptoanálisis a cifrados en bloques mediante el Algoritmo Genético,Osmani Tito Corrioso|Miguel A. Borges Trenard|Mijail Borges Quintana,"Departamento de Matemática, Facultad de Ciencias de la Educación, Universidad de Guantánamo, Cuba|Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba",Algoritmo Genético|grupo cociente|criptoanálisis|AES(t),"Criptografía, Algoritmo Genético, Cifrados en bloques",14|[6]|[8]|[1]|[7]|[2]|[10]|[4]|[11]|[13]|[12],CMVol35No1-2021-pp47-pp53,
Análisis de sensibilidad del Modelo de Bahill Aplicado a movimientos sac´adicos en pacientes at´axicos,Camilo Mora Batista|Rafael M. ´Avila ´Avila|Rosa Isabel Urquiza Salgado|´Efren V´azquez Silva,"Departamento de Licenciatura en Matemática, Universidad de Holguín, Holguín, Cuba|Departamento de Matemática, Universidad de Holguín, Holguín, Cuba|",Modelo Matemático|Ataxia Hereditaria|Simulación|Sistema de Ecuaciones Diferenciales|Análisis de Sensibilidad,Matemáticas Aplicadas a la Ataxia Hereditaria,,CMVol35No2-2021-pp55-pp64,
Acerca del problema homog´eneo de Dirichlet para campos electromagn´eticos en dominios con fronteras fractales: caso quiral,Luis Manuel ´Avila N´apolez|Rafael M. ´Avila ´Avila*|Ricardo Abreu Blaya,"Departamento de Matem´atica, Universidad de Holgu´ın, Holgu´ın, Cuba|Departamento de Licenciatura en Matem´atica, Universidad de Holgu´ın, Holgu´ın, Cuba*|Facultad de Matem´atica, Universidad Aut´onoma de Guerrero, Guerrero, M´exico.",Problemas de valores de frontera|An´alisis Cuaterni´onico|campos electromagn´eticos|medios quirales,"Electromagnetismo, Análisis cuaterniónico, medios fractales, medios quirales","1, 2, 3|4|[5, 6]|[7, 13, 14]",CMVol35No2-2021-pp65-pp72,
Develop of the new multiplatform version of OpenLatino Server (OLS),Frankie Mujica Cal1|Joanna Campbell Amos1|Eduardo Quesada Orozco1,"Departamento de Programación e Ingeniaría de software, Universidad de la Habana, La Habana, Cuba",SIG|ASP.NET Core|WMS|Multiplataforma|Framework,Development of a multiplatform version of OpenLatino Server,,CMVol35No2-2021-pp81-pp90,
Nueva propuesta para el ajuste del rango interno en el agrupamiento de documentos mediante Factorizaciones No Negativas de Matrices,Iosvanny Jesús Alfonso Veloso|Marta Lourdes Baguer Díaz-Romañach|Lydia Castro Odio,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",Corpus|Factorización|Agrupamiento,Minería de textos y agrupamiento por temas,,CMVol35No2-2021-pp91-pp99,
Cohomología de Hochschild del Álgebra de Matrices Triangulares,Beatriz de Rancell Montero Deus|José Fidel Hernández Advíncula,"Departamento de Matemática, Universidad de La Habana, Cuba",Cohomología de Hochschild|Extensión por un punto|Álgebra de Matrices Triangulares,Cohomología de Hochschild en álgebras de matrices triangulares,"Gerhard Hochschild, On the cohomology groups of an associative algebra, Trans. Amer. Math. Soc., 58 (1945), pp. 33-62.|Henri Cartan and Samuel Eilenberg, Homological algebra, Princeton University Press, 1956.",CMVol35No2-2021-pp101-pp110,
CMVol35No2-2021-pp111-pp122,Aracelys García Armenteros|Joanna Campbell Amos|Vivian Plasencia Calaña,"Departamento de Programación e Ingeniaría de software, Universidad de la Habana, La Habana, Cuba|Trabajador por cuenta propia",SIG Web|OpenLatinoView|OpenLatinoServer,Web GIS con tecnologías abiertas,,CMVol35No2-2021-pp111-pp122,
Alternativa metodológica para la autopreparación de concursantes de Matemática,Ernesto A. López Cadalso|María C. Rivalta Valladares|Yasser Martin Guillén|Mercedes M. Leal Acosta|Nelson T. Hernández Reyes,"Departamento de Matemática-Física, Facultad de Ciencias Naturales y Exactas, Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba|Facultad de Matemática y Computación MATCOM, Universidad de La Habana, La Habana, Cuba|Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba|Departamento de Matemática-Física, Facultad de Ciencias Naturales y Exactas, Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba|Centro de Estudio de Matemática para Ciencias Técnicas Universidad Tecnoógica de la Habana "" José Antonio Echevarria "", La Habana, Cuba",Alternativa metodológica|autopreparación|concursante,Metodología para la autopreparación de concursantes de Matemática,,CMVol35No2-2021-pp123-pp130,
"Mathematical study of toxin elimination by the liver, circulatory system and the kidneys",Annia Valiente Monte de Oca|Sandy Sánchez Domínguez|Antonio Iván Ruiz Chaveco|Isabel Martén Powell,"Mathematics department. Faculty of Education Sciences. Guantánamo University. Cuba|Mathematics department. Faculty of Natural and Exact Sciences, University of Oriente. Santiago de Cuba. Cuba|University of the State of Amazonas, Brazil|Universidad de Ciencias Médicas de Santiago de Cuba. Cuba",Mathematical model|quasi-normal form|toxine elimination,"Matemático estudio de la eliminación de toxinas por el hígado, sistema circulatorio y los riñones",,CMVol35No2-2021-pp131-pp137,
UNA VARIANTE DEL MÉTODO DE LINEALIZACIÓN LOCAL PARA LA INTEGRACIÓN DE ECUACIONES DIFERENCIALES ESTOCÁSTICAS CON RESPECTO A SEMIMARTINGALAS,Luis A. Salomón Hernández|Rolando J. Biscay Lirio,"Departamento de Matemática Aplicada, Universidad de la Habana|Instituto de Cibernética, Matemática y Física (ICIMAF)",Semimartingalas|Linealización Local|Convergencia ucp,Matemáticas Aplicadas: Integración de Ecuaciones Diferenciales Estocásticas con Semimartingalas,,"MAT+23(1-2)05-4,+pp.+45-53",
LA FUNCIÓN DE VEROSIMILITUD SUAVIZADA EN MODELOS DE REGRESIÓN,Lilian Muñiz Álvarez|Rolando J. Biscay Lirio,"Facultad de Matemática y Computación, Universidad de La Habana|Instituto de Cibernética, Matemática y Física (ICIMAF)",función de verosimilitud suavizada|modelos de regresión|consistencia de estimadores,"Modelos de Regresión, Función de Verosimilitud Suavizada",,"MAT+23(1-2)05-5,+pp.+54-64",
"MAT+23(1-2)5-2, pp. 16-24",Pedro Domínguez Wade|Jesús Barreto Molina,"Universidad de Matanzas, Cuba|Universidad Pedagógica de Villa Clara, Cuba",,Modular Representations of Group with p-Complement,,"MAT+23(1-2)5-2,+pp.+16-24",
MAT+23(1-2)5-7,Elina Miret Barroso|Gladys Linares Fleites|María V. Mederos Brú,"Facultad de Matemática y Computación, Universidad de La Habana",,"Multidimensional Scaling (MDS), Escalamiento Multidimensional (EM), Representación Euclidiana",,"MAT+23(1-2)5-7,+pp.+65-75",
EL LEGADO DE JACOBO BERNOULLI A LA CIENCIA DEL CÁLCULO,Concepción Valdés Castro,Universidad de la Habana,,"Historia de la Matemática, Jacob Bernoulli",,"MAT+23(1-2)5-9,+pp.+84-93",
"MAT+23(1-2)5-10, pp. 94-105",Carlos Sánchez Fernández,"Universidad de La Habana, Cuba",,Influencia de Niels Abel en el análisis matemático del siglo XIX,Ore (1957)|Sánchez-Noriega (2005)|Stubhaug (2000),"MAT+23(1-2)5-10,+pp.+94-105",
Simulación computacional para la dinámica de enfermedades transmitidas por vectores,Ernesto Alfonso Hernández|Aymée de los Ángeles Marrero Severo,"Departamento Matemática Aplicada, Facultad de Matemática y Computación, Universidad de La Habana, Cuba",epidemias|mapas cognitivos difusos|modelos basados en agentes|redes complejas|simulación,Simulación de dinámica de enfermedades transmitidas por vectores utilizando mapas cognitivos difusos y modelos basados en agentes,"Alfonso Hernández, E.,& Marrero Severo, A.A. (2024).Simulación computacional para la dinámica de enfermedades transmitidas por vectores. Ciencias Matemáticas, 36(Único), 1–11.DOI: https://doi.org/10.5281/zenodo.13914881. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9952.","RCM+Vol.36,+No.Unico,+2022-2023,+pp.1-11",
Matrix-free computation of linear combinations of phi-functions times vectors in exponential integrators,Frank Sadan Naranjo-Noda|Juan Carlos Jiménez Sobrino,"Departamento Matemática Interdisciplinaria, Instituto de Cibernética, Matemática y Física. La Habana, Cuba.",phi-functions|iterative numerical method|matrix-free method|exponential integrator|high dimensional initial value problem,"Exponential integrators, Linear combinations, Matrix-free methods","Naranjo-Noda, F.S.,& Jiménez Sobrino, J.C. (2024). Matrix-free computation of linear combinations of phi-functions times vectors in exponential integrators. Ciencias Matemáticas, 36(Único), 13–19.","RCM+Vol.36,+No.Unico,+2022-2023,+pp.19-19",
Neural networks to remove specular reflections in colposcopic images,Lauren Jimenez-Martin|Daniel Alejandro Valdés Pérez|Ana Margarita Solares Asteasuainzarra|Ludwig Leonard Méndez|Marta Lourdes Baguer Díaz-Romañach,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba|Hospital Ginecobstétrico Universitario ‘Ramón González Coro’, La Habana, Cuba",cervical cancer|colposcopic image|specular reflection|inpainting|supervised learning,"Cáncer de cuello uterino, redes neuronales para eliminar reflejos especulares en imágenes colposcópicas","Jimenez-Martin et al., 2024|[5]|[13]|[16]|[21]|[25]|[23]|[10]|[20]|[6]|[22]|Citation (Citar como): Jimenez-Martin et al., 2024","RCM+Vol.36,+No.Unico,+2022-2023,+pp.21-34",
El problema de Riemann para el sistema de Lamé-Navier bidimensional,Diego Esteban Gutierrez Valencia|Daniel Alfonso Santiesteban|Ricardo Abreu Blaya,"Facultad de Matemáticas, Universidad Autónoma de Guerrero, Chilpancingo, Guerrero, México",operador de Cauchy-Riemann|operador de Teodorescu|problema de Riemann|sistema de Lamé-Navier,"Teoría de la Elasticidad Lineal, operadores integrales de tipo Teodorescu, problema de Riemann asociado al sistema elástico","Gutierrez Valencia, D.E, Alfonso Santiesteban, D., & Abreu Blaya, R. (2024). El problema de Riemann para el sistema de Lamé-Navier bidimensional. Ciencias Matemáticas, 36(Único), 43–50. DOI: https://doi.org/10.5281/zenodo.13916459. Recuperado a partir de https://revistas.uh.cu/rcm/article/view/9069.","RCM+Vol.36,+No.Unico,+2022-2023,+pp.43-49",
