Id,Label,TipoNodo
Claudia Espinosa Contreras,Claudia Espinosa Contreras,Autor
Claudia Fonte Sánchez,Claudia Fonte Sánchez,Autor
Cliffor Jerry Herrera-Castrillo,Cliffor Jerry Herrera-Castrillo,Autor
Comité Editorial,Comité Editorial,Autor
Concepción Valdés Castro,Concepción Valdés Castro,Autor
César Raúl García Jacas,César Raúl García Jacas,Autor
Dagoberto Acosta Iglesias,Dagoberto Acosta Iglesias,Autor
Damian Valdés Santiago,Damian Valdés Santiago,Autor
Damny Magdaleno Guevara,Damny Magdaleno Guevara,Autor
Dania Tamayo Vera,Dania Tamayo Vera,Autor
Daniel Alejandro Mesejo León,Daniel Alejandro Mesejo León,Autor
Daniel Alejandro Valdés Pérez,Daniel Alejandro Valdés Pérez,Autor
Daniel Alfonso Santiesteban,Daniel Alfonso Santiesteban,Autor
Daniel Menció Padrón,Daniel Menció Padrón,Autor
Daniela Bonilla Barraza,Daniela Bonilla Barraza,Autor
Danilo Valdes Ramirez,Danilo Valdes Ramirez,Autor
David Guinovart Sanjuán,David Guinovart Sanjuán,Autor
David La O Naranjo,David La O Naranjo,Autor
David Rodríguez Fernández,David Rodríguez Fernández,Autor
Dayron Chang Dominguez1*,Dayron Chang Dominguez1*,Autor
Dianne Miyares Moreno,Dianne Miyares Moreno,Autor
Diego Esteban Gutierrez Valencia,Diego Esteban Gutierrez Valencia,Autor
Dr C. Manuel Mariño Betancourt,Dr C. Manuel Mariño Betancourt,Autor
Dr C. Miguel Cruz Ramírez,Dr C. Miguel Cruz Ramírez,Autor
Dr. José Enrique Martínez Serra,Dr. José Enrique Martínez Serra,Autor
Dr. Lorgio F. Batard Martínez,Dr. Lorgio F. Batard Martínez,Autor
Dr. Luis R. Piñeiro Díaz,Dr. Luis R. Piñeiro Díaz,Autor
Dr.C Ricardo Sánchez Casanova,Dr.C Ricardo Sánchez Casanova,Autor
Dr.C. José Fidel Hernández Advíncula,Dr.C. José Fidel Hernández Advíncula,Autor
Dra. Elina Miret Barroso,Dra. Elina Miret Barroso,Autor
Dra. Lydia Castro Odio,Dra. Lydia Castro Odio,Autor
Dra. Marta Lourdes Baguer Díaz-Romañach,Dra. Marta Lourdes Baguer Díaz-Romañach,Autor
Dra. Olga Lidia Pérez González,Dra. Olga Lidia Pérez González,Autor
DraC Teresa Bernarda Pagés López,DraC Teresa Bernarda Pagés López,Autor
Dámasa Martínez Martínez,Dámasa Martínez Martínez,Autor
E. J. Madarro,E. J. Madarro,Autor
E. Menéndez,E. Menéndez,Autor
E. R.Morgado,E. R.Morgado,Autor
Eberto R. Morgado Morales,Eberto R. Morgado Morales,Autor
Eduardo Quesada Orozco,Eduardo Quesada Orozco,Autor
Eduardo R. Concepción Morales,Eduardo R. Concepción Morales,Autor
Eduardo Álvarez Rojas,Eduardo Álvarez Rojas,Autor
Eladio Jorge Oliveros Saúco,Eladio Jorge Oliveros Saúco,Autor
Elisa Monteiro Pereira,Elisa Monteiro Pereira,Autor
Elisabet Vivar Reyes,Elisabet Vivar Reyes,Autor
Elisângela Monteiro Pereira,Elisângela Monteiro Pereira,Autor
Eloy Rafael Oliveros Domínguez,Eloy Rafael Oliveros Domínguez,Autor
Elsa C. Ramírez García,Elsa C. Ramírez García,Autor
Elsa Gutiérrez Báez,Elsa Gutiérrez Báez,Autor
Emmanuel Abdias Romano Castillo,Emmanuel Abdias Romano Castillo,Autor
Erick Eduardo Ramirez-Torres,Erick Eduardo Ramirez-Torres,Autor
Erick Manuel Delgado Moya,Erick Manuel Delgado Moya,Autor
Ernestina Castell2,Ernestina Castell2,Autor
Ernesto A. Borrego Rodríguez,Ernesto A. Borrego Rodríguez,Autor
Ernesto A. López Cadalso,Ernesto A. López Cadalso,Autor
Ernesto A. Mederos Franqueiro,Ernesto A. Mederos Franqueiro,Autor
Ernesto Alejandro López Caldalso,Ernesto Alejandro López Caldalso,Autor
Ernesto Alfonso Hernández,Ernesto Alfonso Hernández,Autor
Ernesto Dominguez Fiallo,Ernesto Dominguez Fiallo,Autor
Ernesto Iglesias Rodríguez,Ernesto Iglesias Rodríguez,Autor
Ernesto Parra Inza,Ernesto Parra Inza,Autor
Ernesto Quevedo Caballero,Ernesto Quevedo Caballero,Autor
Ernesto Roberto Fuentes Garí,Ernesto Roberto Fuentes Garí,Autor
Esp. David Ricardo Ledo Baster,Esp. David Ricardo Ledo Baster,Autor
Esperanza García Santoyo,Esperanza García Santoyo,Autor
Evaristo Madarro Capó,Evaristo Madarro Capó,Autor
Evelyn Elisa Mart´ınez Sabari,Evelyn Elisa Mart´ınez Sabari,Autor
Eziel Ramos,Eziel Ramos,Autor
F. García-Alonso,F. García-Alonso,Autor
F. J. Dom´ınguez-Mota,F. J. Dom´ınguez-Mota,Autor
Federico J. Sabina,Federico J. Sabina,Autor
Felicia Pérez Moya,Felicia Pérez Moya,Autor
Felix N. Abelardo,Felix N. Abelardo,Autor
Fernando Raul Rodriguez Flores,Fernando Raul Rodriguez Flores,Autor
Flor María Guerrero Casas,Flor María Guerrero Casas,Autor
"Flores López, W. O.","Flores López, W. O.",Autor
Franck Boyer,Franck Boyer,Autor
Frank E. Acosta Fonseca,Frank E. Acosta Fonseca,Autor
Frank Reyes Garc´ıa,Frank Reyes Garc´ıa,Autor
Frank Sadan Naranjo-Noda,Frank Sadan Naranjo-Noda,Autor
Frankie Mujica Cal,Frankie Mujica Cal,Autor
Fátima Pérez García,Fátima Pérez García,Autor
G. Sánchez-Yépez,G. Sánchez-Yépez,Autor
Gabriel Gil,Gabriel Gil,Autor
Gabriela Bayolo Soler,Gabriela Bayolo Soler,Autor
"García Rojas, Pedro","García Rojas, Pedro",Autor
Gemayqzel Bouza Allende,Gemayqzel Bouza Allende,Autor
Gheisa Lucía Ferreira Lorenzo,Gheisa Lucía Ferreira Lorenzo,Autor
Gladys Linares Fleites,Gladys Linares Fleites,Autor
Glicerio Viltres Castro,Glicerio Viltres Castro,Autor
Gonzalo González Hernández,Gonzalo González Hernández,Autor
Gonzalo Joya Caparrós,Gonzalo Joya Caparrós,Autor
Greneter Cordoves Delgado,Greneter Cordoves Delgado,Autor
Greter Domínguez Rodríguez,Greter Domínguez Rodríguez,Autor
Guillermo Enrique Ramírez Montes,Guillermo Enrique Ramírez Montes,Autor
Guillermo Sosa Gómez,Guillermo Sosa Gómez,Autor
Guilmer F. González Flores,Guilmer F. González Flores,Autor
Haydée Guillot Jiménez,Haydée Guillot Jiménez,Autor
Henrik Pestano Pino,Henrik Pestano Pino,Autor
Herminia Hernández Fernández,Herminia Hernández Fernández,Autor
Hortensia J. Reyes Cervantes,Hortensia J. Reyes Cervantes,Autor
Huber Mart´ınez Rodr´ıguez,Huber Mart´ınez Rodr´ıguez,Autor
Héctor González,Héctor González,Autor
Idania Urrutia Roman´ı,Idania Urrutia Roman´ı,Autor
Iosvanny Jesús Alfonso Veloso,Iosvanny Jesús Alfonso Veloso,Autor
Irene Garc´ıa Rondón,Irene Garc´ıa Rondón,Autor
Irene Martínez Ferrer,Irene Martínez Ferrer,Autor
Isabel Alonso Berenguer,Isabel Alonso Berenguer,Autor
Isabel Martén Powell,Isabel Martén Powell,Autor
Isabel Santiesteban Pérez,Isabel Santiesteban Pérez,Autor
Isaura Lisbeth Hudiel Fuentes,Isaura Lisbeth Hudiel Fuentes,Autor
Isel Grau,Isel Grau,Autor
Isel Moreno Montes de Oca,Isel Moreno Montes de Oca,Autor
Isidro A. Abelló Ugalde,Isidro A. Abelló Ugalde,Autor
Isis Bonet,Isis Bonet,Autor
Ismel Martínez Díaz,Ismel Martínez Díaz,Autor
Ismel Martínez-Díaz,Ismel Martínez-Díaz,Autor
Isvani Frías Blanco,Isvani Frías Blanco,Autor
Ivett E. Fuentes,Ivett E. Fuentes,Autor
J. A. Reyes,J. A. Reyes,Autor
J. G. Tinoco-Ruiz,J. G. Tinoco-Ruiz,Autor
J. L. G. Santander,J. L. G. Santander,Autor
J. M. Isidro,J. M. Isidro,Autor
J. Rigoberto Gabriel-Argu¨elles,J. Rigoberto Gabriel-Argu¨elles,Autor
J. Villagómez,J. Villagómez,Autor
J.B. Dixon,J.B. Dixon,Autor
Jarvin Antón Vargas,Jarvin Antón Vargas,Autor
Javier GuillotJiménez,Javier GuillotJiménez,Autor
Javier Menéndez,Javier Menéndez,Autor
Jenaro Reyes M.,Jenaro Reyes M.,Autor
Jesús A. Ruiz Careaga,Jesús A. Ruiz Careaga,Autor
Jesús Barreto Molina,Jesús Barreto Molina,Autor
Joanna Campbell Amos,Joanna Campbell Amos,Autor
Jolbin José Mairena Aráuz,Jolbin José Mairena Aráuz,Autor
Jonathan Chicaiza Intriago,Jonathan Chicaiza Intriago,Autor
Jorge Del Risco Mart´ınez,Jorge Del Risco Mart´ınez,Autor
Jorge E. Macías-Díaz,Jorge E. Macías-Díaz,Autor
Jorge Erick López Velázquez,Jorge Erick López Velázquez,Autor
Jorge Estrada Hernández,Jorge Estrada Hernández,Autor
Jorge Estrada Sarlabous,Jorge Estrada Sarlabous,Autor
Jorge Luis Palomino Hernández,Jorge Luis Palomino Hernández,Autor
Jorge Luis Rodríguez Pérez,Jorge Luis Rodríguez Pérez,Autor
JorgeFardales Pérez,JorgeFardales Pérez,Autor
Jorly Alberto Pérez Pérez,Jorly Alberto Pérez Pérez,Autor
Jose A. Lugo García,Jose A. Lugo García,Autor
Jose Alejandro Mesejo-Chiong,Jose Alejandro Mesejo-Chiong,Autor
José A. Ornella Rodriguez,José A. Ornella Rodriguez,Autor
José Armando Vivero González,José Armando Vivero González,Autor
José E. Valdés Castro,José E. Valdés Castro,Autor
José Enrique Alvarez Iglesias2,José Enrique Alvarez Iglesias2,Autor
José Jorge Rodríguez Salgado,José Jorge Rodríguez Salgado,Autor
José Manuel Espinoza,José Manuel Espinoza,Autor
José María Sigarreta Almira,José María Sigarreta Almira,Autor
José Quintín Cuador Gil,José Quintín Cuador Gil,Autor
José R. Velázquez Codina,José R. Velázquez Codina,Autor
José Víctor Tamariz Flores,José Víctor Tamariz Flores,Autor
Juan Carlos Hernández Gómez,Juan Carlos Hernández Gómez,Autor
Juan Carlos Jiménez Sobrino,Juan Carlos Jiménez Sobrino,Autor
Juan Carlos Navarro González,Juan Carlos Navarro González,Autor
Juan Manuel Regalado Gómez,Juan Manuel Regalado Gómez,Autor
Juan Raúl Delgado Rubi,Juan Raúl Delgado Rubi,Autor
Juana E. Bermúdez Sosa,Juana E. Bermúdez Sosa,Autor
JuliettM.SuárezFerreira,JuliettM.SuárezFerreira,Autor
Julio Cruz Cruz,Julio Cruz Cruz,Autor
Julián Bravo Castillero,Julián Bravo Castillero,Autor
Kevin Talavera Díaz,Kevin Talavera Díaz,Autor
Laidy De Armas Jacomino,Laidy De Armas Jacomino,Autor
Larisa Zamora Matamoros,Larisa Zamora Matamoros,Autor
Laura Casas Fuentes,Laura Casas Fuentes,Autor
Lauren Jimenez-Martin,Lauren Jimenez-Martin,Autor
Leisy Sosa Castro,Leisy Sosa Castro,Autor
Leonardo Solanilla Chavarro,Leonardo Solanilla Chavarro,Autor
Leticia Arco García,Leticia Arco García,Autor
Leticia Cristina Bequer Mendoza,Leticia Cristina Bequer Mendoza,Autor
Li Guo,Li Guo,Autor
Lia de la Concepción Zerquera Ferrer,Lia de la Concepción Zerquera Ferrer,Autor
Lic. Bely Rodríguez Morales,Lic. Bely Rodríguez Morales,Autor
Lic. Javier Alejandro Quintero Roba,Lic. Javier Alejandro Quintero Roba,Autor
Lic. Laura Decalo Salgado,Lic. Laura Decalo Salgado,Autor
Lic. Mar´ıa Esther Reyes Calzado,Lic. Mar´ıa Esther Reyes Calzado,Autor
Lic. Roxana Pérez García,Lic. Roxana Pérez García,Autor
Ligia Ferreira Gomez,Ligia Ferreira Gomez,Autor
Lilian Muñiz Álvarez,Lilian Muñiz Álvarez,Autor
Lis Velázquez Vidal,Lis Velázquez Vidal,Autor
Lisbet Hernández Cárdenas,Lisbet Hernández Cárdenas,Autor
Lissette María Pedroso Carracedo,Lissette María Pedroso Carracedo,Autor
Lizet Sánchez Valdés,Lizet Sánchez Valdés,Autor
Lorena León Arencibia,Lorena León Arencibia,Autor
Lourdes Souto Anido,Lourdes Souto Anido,Autor
Lourdes Tarifa Lozano (Profesor Titular),Lourdes Tarifa Lozano (Profesor Titular),Autor
Lucina García Hernández,Lucina García Hernández,Autor
Ludwig Leonard Méndez,Ludwig Leonard Méndez,Autor
Luis A. Salomón Hernández,Luis A. Salomón Hernández,Autor
Luis B. Lecha Estela,Luis B. Lecha Estela,Autor
Luis Efraín Velastegui López,Luis Efraín Velastegui López,Autor
Luis Enrique Bergues Cabrales,Luis Enrique Bergues Cabrales,Autor
Luis Enrique Fernández Machado,Luis Enrique Fernández Machado,Autor
Luis Eugenio Valdés García,Luis Eugenio Valdés García,Autor
Luis Giraldo González Ricardo,Luis Giraldo González Ricardo,Autor
Luis Manuel Ávila Nápolez,Luis Manuel Ávila Nápolez,Autor
Luis Orlando Castellanos Pérez,Luis Orlando Castellanos Pérez,Autor
Luis Quintero Domínguez,Luis Quintero Domínguez,Autor
Luis Sorinas Morales,Luis Sorinas Morales,Autor
Luisa González,Luisa González,Autor
Luís Santiago Moreno,Luís Santiago Moreno,Autor
Lázaro Ramón Caraballo Rodríguez,Lázaro Ramón Caraballo Rodríguez,Autor
M. A. García-March,M. A. García-March,Autor
M. A. Herrera,M. A. Herrera,Autor
M. Cortés-Molina,M. Cortés-Molina,Autor
M. L. Ruiz-Zavala,M. L. Ruiz-Zavala,Autor
M. Lorena Avendan˜o-Garrido,M. Lorena Avendan˜o-Garrido,Autor
M.A. Valera Pérez,M.A. Valera Pérez,Autor
M.G. Tenorio Arvide,M.G. Tenorio Arvide,Autor
MSc. Beatriz Pérez López,MSc. Beatriz Pérez López,Autor
MSc. Denis Martínez Tápanes,MSc. Denis Martínez Tápanes,Autor
MSc. Walter Carballosa Torres,MSc. Walter Carballosa Torres,Autor
MSc. Yanelis Estrada Hernández,MSc. Yanelis Estrada Hernández,Autor
Magdiel Vicet Morejón,Magdiel Vicet Morejón,Autor
Maibys Sierra Lorenzo,Maibys Sierra Lorenzo,Autor
Mailyn Álvarez Caneda,Mailyn Álvarez Caneda,Autor
Manuel Guardado Hernández,Manuel Guardado Hernández,Autor
Manuel Vázquez Acosta,Manuel Vázquez Acosta,Autor
Marcela Parraguez González,Marcela Parraguez González,Autor
Marcela Rivera,Marcela Rivera,Autor
Marelys Crespo Navas,Marelys Crespo Navas,Autor
Mariano Rodríguez Ricard,Mariano Rodríguez Ricard,Autor
Maricela Rodríguez Ortiz,Maricela Rodríguez Ortiz,Autor
Marielis Izquierdo Matias,Marielis Izquierdo Matias,Autor
Mariella Lorenzo Suárez,Mariella Lorenzo Suárez,Autor
Mario A. Vera-Villamar,Mario A. Vera-Villamar,Autor
Mario Carnesoltas Calvo,Mario Carnesoltas Calvo,Autor
Mario M. Ojeda3,Mario M. Ojeda3,Autor
Marlen Pérez Díaz,Marlen Pérez Díaz,Autor
Marlon Cobas-Batista,Marlon Cobas-Batista,Autor
Marta María Álvarez Pérez,Marta María Álvarez Pérez,Autor
Martha Beatriz Boggiano Castillo,Martha Beatriz Boggiano Castillo,Autor
Mar´ıa Virginia Rodr´ıguez Quiroz,Mar´ıa Virginia Rodr´ıguez Quiroz,Autor
María M. García,María M. García,Autor
María V. Mederos Brú,María V. Mederos Brú,Autor
María de Luz Gasca Soto,María de Luz Gasca Soto,Autor
María del Carmen Rivalta Valladares,María del Carmen Rivalta Valladares,Autor
María del Carmen Velasco Gómez,María del Carmen Velasco Gómez,Autor
Mayelín Macías Norat,Mayelín Macías Norat,Autor
Mercedes M. Leal Acosta,Mercedes M. Leal Acosta,Autor
Michaell González Jorrín,Michaell González Jorrín,Autor
Michel Artiles Egüe,Michel Artiles Egüe,Autor
Michel Cabezas,Michel Cabezas,Autor
Miguel Angel Borges Trenard,Miguel Angel Borges Trenard,Autor
Miguel Angel Socorro Borges,Miguel Angel Socorro Borges,Autor
Miguel Enrique Iglesias Martínez,Miguel Enrique Iglesias Martínez,Autor
Miguel Escalona Reyes,Miguel Escalona Reyes,Autor
Miguel Katrib Mora,Miguel Katrib Mora,Autor
Miguel Salvat Quesada,Miguel Salvat Quesada,Autor
Miguel Ángel Abreu Terán,Miguel Ángel Abreu Terán,Autor
Mijail Borges Quintana,Mijail Borges Quintana,Autor
Mijail Veliz Monteagudo,Mijail Veliz Monteagudo,Autor
Milenis Fernández Díaz,Milenis Fernández Díaz,Autor
Milton Henry Perea,Milton Henry Perea,Autor
Minerva Montero Díaz,Minerva Montero Díaz,Autor
Miriam Nicado García,Miriam Nicado García,Autor
Miriela Escobedo Nicot,Miriela Escobedo Nicot,Autor
Mir´ıam G. Báez-Hernández,Mir´ıam G. Báez-Hernández,Autor
Moisés Villena Muñoz,Moisés Villena Muñoz,Autor
N. Díaz,N. Díaz,Autor
Nana Cabo Bizet,Nana Cabo Bizet,Autor
Nancy Mesa Carpio,Nancy Mesa Carpio,Autor
Nancy Perez,Nancy Perez,Autor
Nelson Claudio Córdova Rosas,Nelson Claudio Córdova Rosas,Autor
Nelson Díaz,Nelson Díaz,Autor
Nelson Tomás Hernández Reyes,Nelson Tomás Hernández Reyes,Autor
Nigreisy Montalvo Zulueta,Nigreisy Montalvo Zulueta,Autor
Nivian Quintana,Nivian Quintana,Autor
Norma Cabrera,Norma Cabrera,Autor
Néstor Carbonell Rivero,Néstor Carbonell Rivero,Autor
O. A Acevedo Sandoval,O. A Acevedo Sandoval,Autor
Omar Salas García,Omar Salas García,Autor
Oristela Cuéllar Justiz,Oristela Cuéllar Justiz,Autor
Osmani Tito Corrioso,Osmani Tito Corrioso,Autor
Osvaldo Jesús Rojas Velázquez,Osvaldo Jesús Rojas Velázquez,Autor
Osvaldo Norman Montenegro,Osvaldo Norman Montenegro,Autor
Osviel Rodriguez Valdés,Osviel Rodriguez Valdés,Autor
Otilio Acevedo S.,Otilio Acevedo S.,Autor
Otilio B. Mederos Anoceto,Otilio B. Mederos Anoceto,Autor
P. Fernández de Córdoba,P. Fernández de Córdoba,Autor
P.Freyre,P.Freyre,Autor
Pablo Barrera Sánchez,Pablo Barrera Sánchez,Autor
Pablo Freyre Arrozarena,Pablo Freyre Arrozarena,Autor
Pablo Homero Velastegui López,Pablo Homero Velastegui López,Autor
Patricia Lorenzo-Luaces Álvarez,Patricia Lorenzo-Luaces Álvarez,Autor
Paula Fonte,Paula Fonte,Autor
Pedro Domínguez Wade,Pedro Domínguez Wade,Autor
Pedro Enrique Navarro Sosa,Pedro Enrique Navarro Sosa,Autor
Pedro Luis Del Angel Rodríguez,Pedro Luis Del Angel Rodríguez,Autor
Pedro Pablo de la Cruz Cobas,Pedro Pablo de la Cruz Cobas,Autor
Pedro Y. Piñero Pérez,Pedro Y. Piñero Pérez,Autor
Pilar Oròs Baguena,Pilar Oròs Baguena,Autor
Prof. Dr. Luis Ramiro Piñeiro Díaz,Prof. Dr. Luis Ramiro Piñeiro Díaz,Autor
Rafael Bello Pérez,Rafael Bello Pérez,Autor
Rafael Chaviano Conde,Rafael Chaviano Conde,Autor
Rafael E. Caballero Fernández,Rafael E. Caballero Fernández,Autor
Rafael M. Ávila Ávila,Rafael M. Ávila Ávila,Autor
Rafael Oliva-Santos,Rafael Oliva-Santos,Autor
RafaelBelloPérez,RafaelBelloPérez,Autor
Rainer Llera Menocal,Rainer Llera Menocal,Autor
Raisa Socorro Llanes,Raisa Socorro Llanes,Autor
Ramiro Pèrez Vazquez,Ramiro Pèrez Vazquez,Autor
Ramses Rodr´ıguez Aulet,Ramses Rodr´ıguez Aulet,Autor
Ramón Osmany Ramírez Tase,Ramón Osmany Ramírez Tase,Autor
Ransés Alfonso Rodríguez,Ransés Alfonso Rodríguez,Autor
Raúl Guinovart Díaz,Raúl Guinovart Díaz,Autor
Raúl Martínez Rosado,Raúl Martínez Rosado,Autor
RaœlGuinovart D(cid:237)az,RaœlGuinovart D(cid:237)az,Autor
Redelio Hernández Rubio,Redelio Hernández Rubio,Autor
Reinaldo Rodr(cid:237)guez Ramos,Reinaldo Rodr(cid:237)guez Ramos,Autor
Reynier A. de la Cruz Jiménez,Reynier A. de la Cruz Jiménez,Autor
Ricardo Abreu Blaya,Ricardo Abreu Blaya,Autor
Ridelio Miranda Pérez,Ridelio Miranda Pérez,Autor
Rita A. Roldán Inguanzo,Rita A. Roldán Inguanzo,Autor
Roberto Labrada Claro,Roberto Labrada Claro,Autor
Roberto Labrada-Claro,Roberto Labrada-Claro,Autor
Rodnel Pen˜a Alvarado,Rodnel Pen˜a Alvarado,Autor
Rolando J. Biscay Lirio,Rolando J. Biscay Lirio,Autor
Rolando Sánchez Ramos,Rolando Sánchez Ramos,Autor
Romina Robert Pérez,Romina Robert Pérez,Autor
Rosa Isabel Urquiza Salgado,Rosa Isabel Urquiza Salgado,Autor
Roxana Cabrera Puig,Roxana Cabrera Puig,Autor
Rubén Interian Kovaliova,Rubén Interian Kovaliova,Autor
Rubén Orozco Morales,Rubén Orozco Morales,Autor
S. Behar Jeqúın,S. Behar Jeqúın,Autor
Sandy Sánchez Domínguez,Sandy Sánchez Domínguez,Autor
Saúl Olivera Perdomo,Saúl Olivera Perdomo,Autor
Serdaniel Nieves Pupo,Serdaniel Nieves Pupo,Autor
Silena Herold Garc´ıa,Silena Herold Garc´ıa,Autor
Sira M. Allende Alonso,Sira M. Allende Alonso,Autor
Sissi Pérez Del Pino (Adiestrado),Sissi Pérez Del Pino (Adiestrado),Autor
Suilán Estévez Velarde,Suilán Estévez Velarde,Autor
Surayne Torres López,Surayne Torres López,Autor
Susely Figueroa Iglesias,Susely Figueroa Iglesias,Autor
Sylvie Paycha,Sylvie Paycha,Autor
Sébastien Martin,Sébastien Martin,Autor
Tahiry Gómez Hernández,Tahiry Gómez Hernández,Autor
Tania Diez Fumero,Tania Diez Fumero,Autor
Valentina Badía Albanés,Valentina Badía Albanés,Autor
Victoria Hernández Mederos,Victoria Hernández Mederos,Autor
Virginia Álvarez Suárez,Virginia Álvarez Suárez,Autor
Vivian Plasencia Calaña,Vivian Plasencia Calaña,Autor
Vivian Sistachs Vega,Vivian Sistachs Vega,Autor
Vladimir Pacheco Gonzalez,Vladimir Pacheco Gonzalez,Autor
Víctor E. Pérez León,Víctor E. Pérez León,Autor
Víctor Manuel Mendiola Lau,Víctor Manuel Mendiola Lau,Autor
VíctorM.GarcíaMartínez,VíctorM.GarcíaMartínez,Autor
Waldemart Baldoquin,Waldemart Baldoquin,Autor
