Source,Target
Yessica Caridad Castan˜o Sainz,Implementación de aritmética para curvas elípticas en Bouncy Castle
Carlos Miguel Legón Pérez,Implementación de aritmética para curvas elípticas en Bouncy Castle
DraC Teresa Bernarda Pagés López,Implementación de aritmética para curvas elípticas en Bouncy Castle
Yessica Caridad Castan˜o Sainz,Implementación de aritmética para curvas elípticas en Bouncy Castle
Carlos Miguel Legón Pérez,Implementación de aritmética para curvas elípticas en Bouncy Castle
Dr.C. José Fidel Hernández Advíncula,Cohomología de Hochschild de álgebras triangulares
Beatriz de Rancell Montero Deus,Cohomología de Hochschild de álgebras triangulares
Vivian Plasencia Calaña,Desarrollo de SIG Web con tecnologías abiertas
Aracelys García Armenteros,Desarrollo de SIG Web con tecnologías abiertas
Joanna Campbell Amos,Desarrollo de SIG Web con tecnologías abiertas
Nelson Tomás Hernández Reyes,Alternativa metodológica para la autopreparación de concursantes de Matemática
María del Carmen Rivalta Valladares,Alternativa metodológica para la autopreparación de concursantes de Matemática
Ernesto A. López Cadalso,Alternativa metodológica para la autopreparación de concursantes de Matemática
Yasser Martin Guillén,Alternativa metodológica para la autopreparación de concursantes de Matemática
Mercedes M. Leal Acosta,Alternativa metodológica para la autopreparación de concursantes de Matemática
Antonio Iván Ruiz Chaveco,Mathematical model of toxin elimination
Sandy Sánchez Domínguez,Mathematical model of toxin elimination
Annia Valiente Monte de Oca,Mathematical model of toxin elimination
Isabel Martén Powell,Mathematical model of toxin elimination
Éfren Vázquez Silva,Análisis de sensibilidad del Modelo de Bahill para movimientos sacádicos en pacientes atáxicos
Rosa Isabel Urquiza Salgado,Análisis de sensibilidad del Modelo de Bahill para movimientos sacádicos en pacientes atáxicos
Rafael M. Ávila Ávila,Análisis de sensibilidad del Modelo de Bahill para movimientos sacádicos en pacientes atáxicos
Camilo Mora Batista,Análisis de sensibilidad del Modelo de Bahill para movimientos sacádicos en pacientes atáxicos
Luis Manuel Ávila Nápolez,Problema de Dirichlet para campos electromagnéticos en dominios con fronteras fractales y quirales
Ricardo Abreu Blaya,Problema de Dirichlet para campos electromagnéticos en dominios con fronteras fractales y quirales
Rafael M. Ávila Ávila,Problema de Dirichlet para campos electromagnéticos en dominios con fronteras fractales y quirales
Dr.C. José Fidel Hernández Advíncula,Estudios de álgebras localmente hereditarias a través de sus relaciones con posets y álgebras de incidencia
MSc. Beatriz Pérez López,Estudios de álgebras localmente hereditarias a través de sus relaciones con posets y álgebras de incidencia
Frankie Mujica Cal,Desarrollo de servidor de mapas multiplataforma
Joanna Campbell Amos,Desarrollo de servidor de mapas multiplataforma
Eduardo Quesada Orozco,Desarrollo de servidor de mapas multiplataforma
Dra. Marta Lourdes Baguer Díaz-Romañach,Agrupamiento de documentos mediante Factorizaciones No Negativas de Matrices
Iosvanny Jesús Alfonso Veloso,Agrupamiento de documentos mediante Factorizaciones No Negativas de Matrices
Dra. Lydia Castro Odio,Agrupamiento de documentos mediante Factorizaciones No Negativas de Matrices
Miguel Angel Borges Trenard,G-presentaciones del grupo simétrico
Juana E. Bermúdez Sosa,G-presentaciones del grupo simétrico
Luis A. Salomón Hernández,Método de Linealización Local para ecuaciones diferenciales estocásticas con semimartingalas
Rolando J. Biscay Lirio,Método de Linealización Local para ecuaciones diferenciales estocásticas con semimartingalas
Lilian Muñiz Álvarez,Modificación de la función de verosimilitud en modelos de regresión
Rolando J. Biscay Lirio,Modificación de la función de verosimilitud en modelos de regresión
Carlos Sánchez Fernández,Influencia de Abel en el análisis matemático del siglo XIX
Jorge Erick López Velázquez,Enfoque geométrico para introducir el concepto de campo central de la mecánica clásica
Reinaldo Rodr(cid:237)guez Ramos,Enfoque geométrico para introducir el concepto de campo central de la mecánica clásica
Julián Bravo Castillero,Enfoque geométrico para introducir el concepto de campo central de la mecánica clásica
Pedro Domínguez Wade,Modular representations of groups with p-complement
Jesús Barreto Molina,Modular representations of groups with p-complement
Otilio B. Mederos Anoceto,Solución de problemas elípticos con condiciones de contorno complejas
Dr. Lorgio F. Batard Martínez,Solución de problemas elípticos con condiciones de contorno complejas
Andro Gonzáles,Solución de problemas elípticos con condiciones de contorno complejas
Gladys Linares Fleites,Escalamiento Multidimensional y representación euclidiana
María V. Mederos Brú,Escalamiento Multidimensional y representación euclidiana
Dra. Elina Miret Barroso,Escalamiento Multidimensional y representación euclidiana
Federico J. Sabina,Propiedades efectivas de medios laminados termopiezoeléctricos
Raúl Martínez Rosado,Propiedades efectivas de medios laminados termopiezoeléctricos
Esperanza García Santoyo,Propiedades efectivas de medios laminados termopiezoeléctricos
Julián Bravo Castillero,Propiedades efectivas de medios laminados termopiezoeléctricos
Reinaldo Rodr(cid:237)guez Ramos,Propiedades efectivas de medios laminados termopiezoeléctricos
Concepción Valdés Castro,Legado de Jacob Bernoulli al cálculo
Rita A. Roldán Inguanzo,Análisis Funcional lineal
Valentina Badía Albanés,Álgebra computacional en la computación científica
Prof. Dr. Luis Ramiro Piñeiro Díaz,Congreso Internacional de Matemática y Computación
Alberto Fernández Oliva,Evaluación de habilidades cognitivas de LLM
Suilán Estévez Velarde,Evaluación de habilidades cognitivas de LLM
Kevin Talavera Díaz,Evaluación de habilidades cognitivas de LLM
Alberto Fernández Oliva,Evaluación de habilidades cognitivas de LLM
Suilán Estévez Velarde,Evaluación de habilidades cognitivas de LLM
Kevin Talavera Díaz,Evaluación de habilidades cognitivas de LLM
Guillermo Enrique Ramírez Montes,Enseñanza de matrices y conceptos asociados mediante el cifrado de Hill
Guillermo Enrique Ramírez Montes,Enseñanza de matrices y conceptos asociados mediante el cifrado de Hill
Adriana Díaz Cordero,Uso de pirámides instrumentales en la enseñanza del límite funcional
Valentina Badía Albanés,Uso de pirámides instrumentales en la enseñanza del límite funcional
Alberto Fernández Oliva,Meta-aprendizaje para AutoML heterogéneo
Suilán Estévez Velarde,Meta-aprendizaje para AutoML heterogéneo
Alejandro Piad Morffis,Meta-aprendizaje para AutoML heterogéneo
Lia de la Concepción Zerquera Ferrer,Meta-aprendizaje para AutoML heterogéneo
Alberto Fernández Oliva,Meta-aprendizaje para AutoML heterogéneo
Suilán Estévez Velarde,Meta-aprendizaje para AutoML heterogéneo
Alejandro Piad Morffis,Meta-aprendizaje para AutoML heterogéneo
Lia de la Concepción Zerquera Ferrer,Meta-aprendizaje para AutoML heterogéneo
Sandy Sánchez Domínguez,Estudio matemático de la diabetes
Adolfo Arsenio Fernández García,Estudio matemático de la diabetes
Jorly Alberto Pérez Pérez,Estudio matemático de la diabetes
Tahiry Gómez Hernández,Estudio matemático de la diabetes
Leticia Cristina Bequer Mendoza,Estudio matemático de la diabetes
"García Rojas, Pedro",Actitudes hacia las matemáticas y resolución de problemas
"Flores López, W. O.",Actitudes hacia las matemáticas y resolución de problemas
Aymée de los Ángeles Marrero Severo,Simulación de epidemias con modelos basados en agentes y redes complejas
Ernesto Alfonso Hernández,Simulación de epidemias con modelos basados en agentes y redes complejas
Juan Carlos Jiménez Sobrino,Cálculo sin matrix de combinaciones lineales de función phi por vector en integradores exponenciales
Frank Sadan Naranjo-Noda,Cálculo sin matrix de combinaciones lineales de función phi por vector en integradores exponenciales
Ana Margarita Solares Asteasuainzarra,Neural networks for specular reflection removal in colposcopic images
Ludwig Leonard Méndez,Neural networks for specular reflection removal in colposcopic images
Daniel Alejandro Valdés Pérez,Neural networks for specular reflection removal in colposcopic images
Dra. Marta Lourdes Baguer Díaz-Romañach,Neural networks for specular reflection removal in colposcopic images
Lauren Jimenez-Martin,Neural networks for specular reflection removal in colposcopic images
Diego Esteban Gutierrez Valencia,Análisis del sistema de Lamé-Navier en la teoría de la elasticidad lineal
Ricardo Abreu Blaya,Análisis del sistema de Lamé-Navier en la teoría de la elasticidad lineal
Daniel Alfonso Santiesteban,Análisis del sistema de Lamé-Navier en la teoría de la elasticidad lineal
Damian Valdés Santiago,Nueva época de la revista Ciencias Matemáticas
Lic. Mar´ıa Esther Reyes Calzado,Introducción al Álgebra Lineal
"García Rojas, Pedro",Resolución creativa de problemas matemáticos
Alicia Robbio Marrero,Ejercicios de cálculo y geometría con Geogebra
Roxana Cabrera Puig,Ejercicios de cálculo y geometría con Geogebra
Comité Editorial,Jornada Científica Estudiantil en Matemática y Computación
Reinaldo Rodr(cid:237)guez Ramos,Mecánica de materiales y homogenización
Reinaldo Rodr(cid:237)guez Ramos,Mecánica de materiales y homogenización
Marta María Álvarez Pérez,Obituario de Aurelio Quintana Valdés
José Jorge Rodríguez Salgado,Evaluación automática de soluciones vecinas en problemas de enrutamiento de vehículos
Fernando Raul Rodriguez Flores,Evaluación automática de soluciones vecinas en problemas de enrutamiento de vehículos
Lázaro Ramón Caraballo Rodríguez,Segmentación automática de hígado en imágenes de tomografía
Rubén Orozco Morales,Segmentación automática de hígado en imágenes de tomografía
Marlen Pérez Díaz,Segmentación automática de hígado en imágenes de tomografía
Abelardo López Domínguez,Retos de la educación a distancia en matemática para ingenieros
Alisbet Martínez Bello,Retos de la educación a distancia en matemática para ingenieros
Tania Diez Fumero,Retos de la educación a distancia en matemática para ingenieros
Luis Enrique Fernández Machado,Problema de los reducidos catalanes y método Bézout-Euler de las potencias
Rolando Sánchez Ramos,Traducción automatizada de consultas de lenguaje natural a Cypher con aprendizaje zero-shot
Lizet Sánchez Valdés,Análisis de supervivencia en cáncer de pulmón avanzado
Jorge Luis Palomino Hernández,Análisis de supervivencia en cáncer de pulmón avanzado
Patricia Lorenzo-Luaces Álvarez,Análisis de supervivencia en cáncer de pulmón avanzado
Dagoberto Acosta Iglesias,Modelo logístico de propagación de enfermedades
Milton Henry Perea,Modelo logístico de propagación de enfermedades
Miguel Enrique Iglesias Martínez,Modelo logístico de propagación de enfermedades
Cliffor Jerry Herrera-Castrillo,Aplicaciones del teorema de los ceros de Hilbert en álgebra conmutativa y geometría algebraica
Isaura Lisbeth Hudiel Fuentes,Aplicaciones del teorema de los ceros de Hilbert en álgebra conmutativa y geometría algebraica
Jolbin José Mairena Aráuz,Aplicaciones del teorema de los ceros de Hilbert en álgebra conmutativa y geometría algebraica
Abelardo López Domínguez,Análisis de asistentes matemáticos desde el triángulo didáctico de Chevallard
Lissette María Pedroso Carracedo,Análisis de asistentes matemáticos desde el triángulo didáctico de Chevallard
Tania Diez Fumero,Análisis de asistentes matemáticos desde el triángulo didáctico de Chevallard
Carlos Jiménez Tejeda,Olimpiadas de matemática en Cuba
Nelson Tomás Hernández Reyes,Olimpiadas de matemática en Cuba
Ernesto Alejandro López Caldalso,Olimpiadas de matemática en Cuba
Juan Raúl Delgado Rubi,Olimpiadas de matemática en Cuba
Carlos Jiménez Tejeda,Olimpiadas de matemática en Cuba
Nelson Tomás Hernández Reyes,Olimpiadas de matemática en Cuba
Ernesto Alejandro López Caldalso,Olimpiadas de matemática en Cuba
Juan Raúl Delgado Rubi,Olimpiadas de matemática en Cuba
Miguel Salvat Quesada,Aprendizaje colaborativo en línea para la programación orientada a objetos
Ernesto Roberto Fuentes Garí,Aprendizaje colaborativo en línea para la programación orientada a objetos
JorgeFardales Pérez,Aprendizaje colaborativo en línea para la programación orientada a objetos
RafaelBelloPérez,Aprendizaje reforzado para problemas de secuenciación
JuliettM.SuárezFerreira,Aprendizaje reforzado para problemas de secuenciación
YailénMartínezJiménez,Aprendizaje reforzado para problemas de secuenciación
VíctorM.GarcíaMartínez,Aprendizaje reforzado para problemas de secuenciación
Sissi Pérez Del Pino (Adiestrado),Sistema informático para control de portadores energéticos
Lourdes Tarifa Lozano (Profesor Titular),Sistema informático para control de portadores energéticos
Martha Beatriz Boggiano Castillo,Traductor de reglas de negocio de LPT a SQL
Ramiro Pèrez Vazquez,Traductor de reglas de negocio de LPT a SQL
Alain Pérez Alonso,Traductor de reglas de negocio de LPT a SQL
Ariel Calderón Valdés,Traductor de reglas de negocio de LPT a SQL
N. Díaz,Algoritmos para matrices cuadradas invertibles
P.Freyre,Algoritmos para matrices cuadradas invertibles
E. R.Morgado,Algoritmos para matrices cuadradas invertibles
Michel Artiles Egüe,Herramientas para sistemas gestores de información textual
Damny Magdaleno Guevara,Herramientas para sistemas gestores de información textual
Leticia Arco García,Herramientas para sistemas gestores de información textual
Gheisa Lucía Ferreira Lorenzo,Estimación temporal en tareas de implementación en Redmine
Jarvin Antón Vargas,Estimación temporal en tareas de implementación en Redmine
Luis Quintero Domínguez,Estimación temporal en tareas de implementación en Redmine
Yaimara Granados Hondares,Estimación temporal en tareas de implementación en Redmine
Benny JonRobaina,"Computación, Bases de Datos, Enseñanza de la Computación"
Daniel Alejandro Mesejo León,"Computación, Bases de Datos, Enseñanza de la Computación"
Omar Salas García,"Computación, Bases de Datos, Enseñanza de la Computación"
Javier GuillotJiménez,"Computación, Bases de Datos, Enseñanza de la Computación"
Haydée Guillot Jiménez,"Computación, Bases de Datos, Enseñanza de la Computación"
Víctor Manuel Mendiola Lau,"Computación, Bases de Datos, Enseñanza de la Computación"
Manuel Vázquez Acosta,Sistema de gestión de proyectos para la producción de software
Pedro Y. Piñero Pérez,Sistema de gestión de proyectos para la producción de software
Felix N. Abelardo,Sistema de gestión de proyectos para la producción de software
Surayne Torres López,Sistema de gestión de proyectos para la producción de software
Ana D. Pérez,Sistema de gestión de proyectos para la producción de software
Javier Menéndez,Sistema de gestión de proyectos para la producción de software
Marielis Izquierdo Matias,Sistema de gestión de proyectos para la producción de software
Jose A. Lugo García,Sistema de gestión de proyectos para la producción de software
Ernesto A. Mederos Franqueiro,Sistema de gestión de proyectos para la producción de software
Michaell González Jorrín,Sistema de gestión de proyectos para la producción de software
Henrik Pestano Pino,Sistema de gestión de proyectos para la producción de software
Rafael Chaviano Conde,Modelos matemáticos para transmisiones mecánicas
Elsa C. Ramírez García,Modelos matemáticos para transmisiones mecánicas
Angel Isaac Moreno Delfrade,Modelos matemáticos para transmisiones mecánicas
Miguel Escalona Reyes,Enseñanza de la matemática en ingenierías
Osvaldo Jesús Rojas Velázquez,Enseñanza de la matemática en ingenierías
Eduardo Álvarez Rojas,Formación de profesores de matemática en preuniversitario
Elsa Gutiérrez Báez,Formación de profesores de matemática en preuniversitario
Isabel Santiesteban Pérez,Formación de profesores de matemática en preuniversitario
Maricela Rodríguez Ortiz,Formación de profesores de matemática en preuniversitario
Isel Grau,Predicción de resistencia del VIH con redes neuronales recurrentes
Isis Bonet,Predicción de resistencia del VIH con redes neuronales recurrentes
Isel Grau,Predicción de resistencia del VIH con redes neuronales recurrentes
Isis Bonet,Predicción de resistencia del VIH con redes neuronales recurrentes
Lizet Sánchez Valdés,Estimación de parámetros de transmisión para brote epidémico de Dengue
Ziv Shkedy,Estimación de parámetros de transmisión para brote epidémico de Dengue
Carlos Rafael Sebrango Rodríguez,Estimación de parámetros de transmisión para brote epidémico de Dengue
Néstor Carbonell Rivero,Estimación de parámetros de transmisión para brote epidémico de Dengue
Gonzalo González Hernández,Educación económica en matemáticas
Carlos Duardo Monteagudo,Educación económica en matemáticas
Nancy Mesa Carpio,Educación económica en matemáticas
Mayelín Macías Norat,Análisis morfológico de eritrocitos
Romina Robert Pérez,Análisis morfológico de eritrocitos
Adolfo Arsenio Fernández García,Modelo molecular de polimerización y cristalización de hemoglobina S
Sandy Sánchez Domínguez,Modelo molecular de polimerización y cristalización de hemoglobina S
Antonio Iván Ruiz Chaveco,Modelo molecular de polimerización y cristalización de hemoglobina S
David Guinovart Sanjuán,Determinación de propiedades efectivas de medios cuasi periódicos en coordenadas curvilíneas
AlejandroAlonso Fœster,Determinación de propiedades efectivas de medios cuasi periódicos en coordenadas curvilíneas
RaœlGuinovart D(cid:237)az,Determinación de propiedades efectivas de medios cuasi periódicos en coordenadas curvilíneas
Julián Bravo Castillero,Determinación de propiedades efectivas de medios cuasi periódicos en coordenadas curvilíneas
Reinaldo Rodr(cid:237)guez Ramos,Determinación de propiedades efectivas de medios cuasi periódicos en coordenadas curvilíneas
Flor María Guerrero Casas,Análisis Envolvente de Datos para indicadores sintéticos de sostenibilidad en turismo de naturaleza
Rafael E. Caballero Fernández,Análisis Envolvente de Datos para indicadores sintéticos de sostenibilidad en turismo de naturaleza
Víctor E. Pérez León,Análisis Envolvente de Datos para indicadores sintéticos de sostenibilidad en turismo de naturaleza
Fátima Pérez García,Análisis Envolvente de Datos para indicadores sintéticos de sostenibilidad en turismo de naturaleza
Vladimir Pacheco Gonzalez,Algoritmo matemático para calibración y cálculo de incertidumbre en tanques horizontales
Marcela Rivera,Comparación de métodos de regresión para predicción de dióxido de carbono
Gladys Linares Fleites,Comparación de métodos de regresión para predicción de dióxido de carbono
Hortensia J. Reyes Cervantes,Comparación de métodos de regresión para predicción de dióxido de carbono
Adrián Saldaña,Comparación de métodos de regresión para predicción de dióxido de carbono
Virginia Álvarez Suárez,Competencias básicas en Análisis Matemático para estudiantes de Ciencia de la Computación
Idania Urrutia Roman´ı,Competencias básicas en Análisis Matemático para estudiantes de Ciencia de la Computación
Otilio B. Mederos Anoceto,Generalizaciones y caracterizaciones del concepto de mØtrica
Rita A. Roldán Inguanzo,Generalizaciones y caracterizaciones del concepto de mØtrica
Lis Velázquez Vidal,Diseño y aplicación de data warehouse en Inteligencia de Negocios
Lucina García Hernández,Diseño y aplicación de data warehouse en Inteligencia de Negocios
Mijail Veliz Monteagudo,Diseño y aplicación de data warehouse en Inteligencia de Negocios
Isabel Alonso Berenguer,Habilidades estadísticas y lógicas en alumnos de enseñanza media
Mailyn Álvarez Caneda,Habilidades estadísticas y lógicas en alumnos de enseñanza media
Pilar Oròs Baguena,Habilidades estadísticas y lógicas en alumnos de enseñanza media
Alexander Gorina Sánchez,Habilidades estadísticas y lógicas en alumnos de enseñanza media
Larisa Zamora Matamoros,Habilidades estadísticas y lógicas en alumnos de enseñanza media
Dr. Luis R. Piñeiro Díaz,Propiedades algebraicas de los Polinomios Multiortogonales Clásicos
MSc. Walter Carballosa Torres,Propiedades algebraicas de los Polinomios Multiortogonales Clásicos
Jorge Luis Rodríguez Pérez,Mecanismos de aceleración para algoritmo de optimización basado en análisis de intervalos
Aymée de los Ángeles Marrero Severo,Mecanismos de aceleración para algoritmo de optimización basado en análisis de intervalos
Gonzalo Joya Caparrós,Mecanismos de aceleración para algoritmo de optimización basado en análisis de intervalos
Greter Domínguez Rodríguez,Mecanismos de aceleración para algoritmo de optimización basado en análisis de intervalos
Rubén Interian Kovaliova,Ajuste de curvas y superficies por polinomios implícitos
