Id,Label
calidad inherente,calidad inherente
cambio de concepto,cambio de concepto
camposelectromagne´ticos,camposelectromagne´ticos
carcaj de auslander-reiten,carcaj de auslander-reiten
cardinal,cardinal
cas,cas
categoría derivada,categoría derivada
ccv,ccv
certificados,certificados
certificados digitales,certificados digitales
cervicalcancer,cervicalcancer
ciclo de marcha,ciclo de marcha
ciencia de datos,ciencia de datos
cifrado,cifrado
cifradodehill,cifradodehill
cifradoenbloque,cifradoenbloque
cifrados en bloques,cifrados en bloques
cifrados en bloques ligeros,cifrados en bloques ligeros
cinemática,cinemática
clasificacio´ndeformas,clasificacio´ndeformas
clasificación,clasificación
clasificación de formas,clasificación de formas
clasificadores múltiples,clasificadores múltiples
coalgebra,coalgebra
coberturasterrestres,coberturasterrestres
codificación,codificación
codificación fractal,codificación fractal
coe(cid:222) cientes efectivos,coe(cid:222) cientes efectivos
cohomologíadehochschild,cohomologíadehochschild
collaborative online problem solving (cops),collaborative online problem solving (cops)
colposcopicimage,colposcopicimage
colposcop´ıadelce´rvix,colposcop´ıadelce´rvix
combinación lineal,combinación lineal
comparación de localidades,comparación de localidades
competencias,competencias
competencias cognitivas,competencias cognitivas
complejos acotados,complejos acotados
comprensión de textos,comprensión de textos
comprensión matemática,comprensión matemática
computacio´nenparalelo,computacio´nenparalelo
computer supported collaborativelearning (cscl),computer supported collaborativelearning (cscl)
concursante,concursante
cones,cones
congruencia,congruencia
conic sections,conic sections
consistencia de estimadores,consistencia de estimadores
contagiados,contagiados
contraseñas,contraseñas
control,control
convergence rate,convergence rate
convergencia ucp,convergencia ucp
coordenadas curvil(cid:237)neas,coordenadas curvil(cid:237)neas
coronavirus,coronavirus
corpus,corpus
covid-19,covid-19
covid-19 en cuba,covid-19 en cuba
covid19,covid19
crecimiento de epidemias,crecimiento de epidemias
criptoana´lisis,criptoana´lisis
criptoanálisis,criptoanálisis
criptoanálisis algebraico,criptoanálisis algebraico
criptograf´ıa,criptograf´ıa
criptograf´ıaasime´trica,criptograf´ıaasime´trica
criptograf´ıapostcua´ntica,criptograf´ıapostcua´ntica
criptografía asimétrica,criptografía asimétrica
criptografía post-cuántica,criptografía post-cuántica
criptosistema mceliece,criptosistema mceliece
cuarentena,cuarentena
cuba,cuba
cued recall,cued recall
curvas elípticas,curvas elípticas
curvaselípticas,curvaselípticas
cálculo diferencial,cálculo diferencial
cálculo integral,cálculo integral
cáncer,cáncer
célula nk,célula nk
códigos lineales,códigos lineales
datos con ruido,datos con ruido
datos desbalanceados,datos desbalanceados
decoradores,decoradores
delphi de nube,delphi de nube
dependencia de existencia,dependencia de existencia
deposito de llaves,deposito de llaves
derivadafraccionaria,derivadafraccionaria
descomposición genética de conceptos,descomposición genética de conceptos
diabetesmellitus,diabetesmellitus
diagramas,diagramas
didáctica,didáctica
diferencias finitas,diferencias finitas
diferencias finitas generalizadas,diferencias finitas generalizadas
diffusion,diffusion
dificultadesdeaprendizaje,dificultadesdeaprendizaje
difusio´n,difusio´n
dinámica de epidemia,dinámica de epidemia
dirección integrada,dirección integrada
discretización,discretización
diseño correcto,diseño correcto
diseño de bases de datos,diseño de bases de datos
dispositivo móvil,dispositivo móvil
distribución geográfica,distribución geográfica
distribución t-student,distribución t-student
doubly periodic,doubly periodic
ecuaciones,ecuaciones
ecuaciones de equilibrio,ecuaciones de equilibrio
ecuaciones de stokes,ecuaciones de stokes
ecuaciones diferenciales,ecuaciones diferenciales
ecuaciones diferenciales ordinarias,ecuaciones diferenciales ordinarias
ecuaciones el´ıpticas,ecuaciones el´ıpticas
ecuación,ecuación
edosnolineales,edosnolineales
edp,edp
educación híbrida,educación híbrida
effective properties,effective properties
ejercicios,ejercicios
elasticidad,elasticidad
elementos finitos,elementos finitos
elliptic problems,elliptic problems
endemia,endemia
enfoque gsk,enfoque gsk
enrutamiento de vehículos,enrutamiento de vehículos
enrutamientodeveh´ıculos,enrutamientodeveh´ıculos
ensambles de clasificadores,ensambles de clasificadores
enseñanza de la matemática,enseñanza de la matemática
entidades débiles,entidades débiles
epidemias,epidemias
equivalencia de códigos,equivalencia de códigos
erosión de suelo,erosión de suelo
escalamiento multidimensional,escalamiento multidimensional
escalamientomultidimensional,escalamientomultidimensional
esquemadeaproximacio´n,esquemadeaproximacio´n
estabilidad,estabilidad
estado metacognitivo,estado metacognitivo
estaganograf´ıa,estaganograf´ıa
estimación,estimación
estimación temporal,estimación temporal
estrategia didáctica,estrategia didáctica
estrategiadidáctica integradora,estrategiadidáctica integradora
euler-maclaurin formula,euler-maclaurin formula
evaluacio´nde prgn,evaluacio´nde prgn
evaluaciónautomáticadesolucionesvecinas,evaluaciónautomáticadesolucionesvecinas
exponential integrator,exponential integrator
extensiónporunpunto,extensiónporunpunto
factorizacio´n,factorizacio´n
factorización,factorización
fairness,fairness
fibrous composites,fibrous composites
filas de la tabla de pade´,filas de la tabla de pade´
filtrosmorfolo´gicos,filtrosmorfolo´gicos
finite difference method,finite difference method
finite element method,finite element method
finite element theory,finite element theory
flujos de datos,flujos de datos
framework,framework
freefem,freefem
freefem++,freefem++
freefem++ software,freefem++ software
función de verosimilitud suavizada,función de verosimilitud suavizada
función discriminante,función discriminante
functional quantization,functional quantization
funtor de nakayama,funtor de nakayama
f´ısica delos fluidos,f´ısica delos fluidos
fórmulacompleta,fórmulacompleta
g1-continuidad,g1-continuidad
gases de efecto invernadero,gases de efecto invernadero
gaussian starting point,gaussian starting point
generación de gráficos,generación de gráficos
generalizacio´n,generalizacio´n
geoestadística,geoestadística
geogebra,geogebra
geometría,geometría
geometría integral,geometría integral
gestio´n de recursos humanos,gestio´n de recursos humanos
gestión de contenidos,gestión de contenidos
gestión de proyectos,gestión de proyectos
gestión de proyectos de software,gestión de proyectos de software
gestión del conocimiento,gestión del conocimiento
gestión documental,gestión documental
gestión operativa de desastres,gestión operativa de desastres
grafodeevaluación,grafodeevaluación
graphical autentication,graphical autentication
graphical password,graphical password
grasp,grasp
groupscheme,groupscheme
grupo cociente,grupo cociente
grupocociente,grupocociente
habilidad docente procesamiento de datos,habilidad docente procesamiento de datos
habilidades cognitivas,habilidades cognitivas
heur´ıstica,heur´ıstica
high-dimensional initial value problem,high-dimensional initial value problem
hipercubo,hipercubo
hochschildcohomology,hochschildcohomology
hojadecálculodeexcel,hojadecálculodeexcel
homogeneizaci(cid:243)n asint(cid:243)tica,homogeneizaci(cid:243)n asint(cid:243)tica
homogeneización,homogeneización
homomorfismos de inmersión,homomorfismos de inmersión
hospitalización,hospitalización
human-seeded attack,human-seeded attack
huvec,huvec
hw,hw
hígado,hígado
ima´genesdesate´lites,ima´genesdesate´lites
impulsorcualitativo,impulsorcualitativo
incertidumbre,incertidumbre
independencia,independencia
indicadores sintéticos,indicadores sintéticos
infraestructura de llave pública (ilp),infraestructura de llave pública (ilp)
inpainting,inpainting
integración numérica,integración numérica
integral de riemann,integral de riemann
integral definida,integral definida
integraldefinida,integraldefinida
integrales impropias,integrales impropias
inteligencia artificial,inteligencia artificial
interpolacio´ndehermite,interpolacio´ndehermite
interpolación espacial,interpolación espacial
interrelaciones débiles,interrelaciones débiles
involutory matrix,involutory matrix
isogeome´trico,isogeome´trico
iterative numerical method,iterative numerical method
jrip,jrip
krigeado ordinario,krigeado ordinario
la evaluación,la evaluación
la mediación semiótica,la mediación semiótica
larga supervivencia,larga supervivencia
libredeexcepciones,libredeexcepciones
linealización local,linealización local
linear click patterns,linear click patterns
linear diophantine equations,linear diophantine equations
llave segura,llave segura
llm,llm
local fields,local fields
logos,logos
logística,logística
logístico,logístico
los nexos símbolos-objetos,los nexos símbolos-objetos
lotka-volterra,lotka-volterra
límitefuncional,límitefuncional
malladecuadrila´teros,malladecuadrila´teros
mallados exponenciales,mallados exponenciales
mallas estructuradas,mallas estructuradas
mallas irregulares,mallas irregulares
mammografía,mammografía
mamograf´ıa,mamograf´ıa
mapas cognitivos difusos,mapas cognitivos difusos
mapeobicuadra´tico,mapeobicuadra´tico
marioo.gonza´lez,marioo.gonza´lez
matema´ticacubana,matema´ticacubana
matemática superior,matemática superior
materiales compuestos,materiales compuestos
mathcad,mathcad
mathematical model,mathematical model
matrices,matrices
matrices circulantes invertibles,matrices circulantes invertibles
matrix-free method,matrix-free method
matriz inversa,matriz inversa
matrizcuantizacio´n,matrizcuantizacio´n
mceliece,mceliece
mds matrix,mds matrix
media muestral,media muestral
medidas,medidas
medidas de comparación,medidas de comparación
mediosfractales,mediosfractales
mediosquirales,mediosquirales
mef,mef
mejoramientodecontraste,mejoramientodecontraste
meromorphic functions,meromorphic functions
meta-aprendizaje,meta-aprendizaje
metaheur´ıstico,metaheur´ıstico
metaheurística,metaheurística
metaheurísticas,metaheurísticas
metaprogramación,metaprogramación
metododeelementosfinitos,metododeelementosfinitos
me´todo,me´todo
modelacio´nmatema´tica,modelacio´nmatema´tica
modelación de datos,modelación de datos
modelo,modelo
modelo gray-scott,modelo gray-scott
modelo matemático,modelo matemático
modelo no lineal con efectos mixtos,modelo no lineal con efectos mixtos
modelo probabil´ıstico,modelo probabil´ıstico
modelo probabilístico,modelo probabilístico
modelo relacional,modelo relacional
modelo seair,modelo seair
modelo sir,modelo sir
modelodeflujo,modelodeflujo
modelomatema´tico,modelomatema´tico
modelos,modelos
modelos basados en agentes,modelos basados en agentes
modelos bayesianos,modelos bayesianos
modelos de crecimiento sigmoidal,modelos de crecimiento sigmoidal
modelos de lenguajes a gran escala,modelos de lenguajes a gran escala
modelos de regresión,modelos de regresión
modelos epidemiológicos de compartimentos,modelos epidemiológicos de compartimentos
modelos fenomenológicos,modelos fenomenológicos
modelos fenomenológicos dinámicos,modelos fenomenológicos dinámicos
modelos gausianos mixtos,modelos gausianos mixtos
modelos lineales generalizados mixtos,modelos lineales generalizados mixtos
modelos log-lineales,modelos log-lineales
modelos multinivel,modelos multinivel
modelos sir,modelos sir
modelos sísmico,modelos sísmico
modelosairv,modelosairv
modeloslineales,modeloslineales
morfolog´ıamatema´tica,morfolog´ıamatema´tica
motivación,motivación
mo´dulocaracter´ıstico,mo´dulocaracter´ıstico
mo´duloinclinante,mo´duloinclinante
multicolinealidad,multicolinealidad
multiplataforma,multiplataforma
multiplicaciónescalar,multiplicaciónescalar
máximo,máximo
método de los elementos finitos,método de los elementos finitos
método de series,método de series
método genético-constructivo,método genético-constructivo
método húngaro,método húngaro
métodos de inferencia bayesiana,métodos de inferencia bayesiana
navier-stokes,navier-stokes
niederreiter,niederreiter
nivel de asimilación,nivel de asimilación
no-linealidad,no-linealidad
nonconcave quadratic optimization,nonconcave quadratic optimization
nonconvex quadratic programming,nonconvex quadratic programming
nu´merosreales,nu´merosreales
número borroso,número borroso
número de camas,número de camas
número reproductivo básico,número reproductivo básico
objetoshidrolo´gicos,objetoshidrolo´gicos
onepointextension,onepointextension
openlatinoserver,openlatinoserver
openlatinoview,openlatinoview
operador de cauchy-riemann,operador de cauchy-riemann
operador de teodorescu,operador de teodorescu
operador fowa,operador fowa
optimizacio´n,optimizacio´n
optimizacio´n del test lil-de´bil,optimizacio´n del test lil-de´bil
optimización global,optimización global
paquete r,paquete r
parabólico,parabólico
parametric optimization,parametric optimization
para´metros de definicio´n de curvas el´ıpticas,para´metros de definicio´n de curvas el´ıpticas
password space,password space
pensamiento lógico,pensamiento lógico
pensamiento lógico-matemático avanzado,pensamiento lógico-matemático avanzado
percepción,percepción
phi-functions,phi-functions
pirámidesinstrumentales,pirámidesinstrumentales
plataforma,plataforma
plataforma de confianza,plataforma de confianza
podersema´ntico,podersema´ntico
polinomioimplícito,polinomioimplícito
polinomios primitivos,polinomios primitivos
ponderación,ponderación
positive semidefinite relaxation,positive semidefinite relaxation
potencia,potencia
praxis,praxis
predicción,predicción
privacidad,privacidad
probabilistic model,probabilistic model
problema,problema
problema de riemann,problema de riemann
problema inverso,problema inverso
problemadeenrutamiento devehículos,problemadeenrutamiento devehículos
problemadepoisson,problemadepoisson
problemas de diseño de rutas,problemas de diseño de rutas
problemasdevaloresdefrontera,problemasdevaloresdefrontera
procesamiento del lenguaje natural,procesamiento del lenguaje natural
procesamiento digital de imágenes,procesamiento digital de imágenes
procesamiento paralelo,procesamiento paralelo
procesamientodeima´genesdigitales,procesamientodeima´genesdigitales
procesosderamificación,procesosderamificación
programacio´n lineal,programacio´n lineal
programacio´nlineal,programacio´nlineal
programación lineal difusa multiobjetivo,programación lineal difusa multiobjetivo
programación paralela,programación paralela
project management,project management
prono´stico nume´rico del tiempo,prono´stico nume´rico del tiempo
pronósticodeconcentraciones,pronósticodeconcentraciones
pronósticos en tiempo real,pronósticos en tiempo real
propuestadidáctica,propuestadidáctica
protocolosdeintercambiodeclaves,protocolosdeintercambiodeclaves
proximidades,proximidades
pseudo-asime´trico,pseudo-asime´trico
pseudoinversa,pseudoinversa
python,python
q-learning,q-learning
quantization error,quantization error
quasi-normal form,quasi-normal form
r-seguridad,r-seguridad
random matrix over finite fields,random matrix over finite fields
random matrix products,random matrix products
razonamiento,razonamiento
razonamiento lógico matemático,razonamiento lógico matemático
rebrote,rebrote
recogida y entrega simultánea,recogida y entrega simultánea
recogidayentregamixta,recogidayentregamixta
recuperación de información,recuperación de información
recuperación de llaves,recuperación de llaves
redes complejas,redes complejas
redes de transporte,redes de transporte
redesdeinterconexio´n,redesdeinterconexio´n
regio´nacetoblanca,regio´nacetoblanca
regio´ncerradaconfronterairregular,regio´ncerradaconfronterairregular
región de tolerancia,región de tolerancia
regla de simpson,regla de simpson
reglas,reglas
reglas de negocio,reglas de negocio
reglas en lenguaje técnico,reglas en lenguaje técnico
reglas en sql,reglas en sql
reglasdeasociacio´nespacial,reglasdeasociacio´nespacial
regresión logística,regresión logística
regresión con componentes principales,regresión con componentes principales
regresión gamma,regresión gamma
regresión logística,regresión logística
regresión paso a paso,regresión paso a paso
regresión por mínimos cuadrados parciales,regresión por mínimos cuadrados parciales
regularizacio´n,regularizacio´n
relacionesimpl´ıcitas,relacionesimpl´ıcitas
renormalization,renormalization
representaciones semióticas,representaciones semióticas
representacio´n por bloques adaptativa,representacio´n por bloques adaptativa
representación mental,representación mental
requisitos de seguridad,requisitos de seguridad
requisitos te´cnicos,requisitos te´cnicos
resolucio´n adaptativa de ecuaciones diferenciales parciales,resolucio´n adaptativa de ecuaciones diferenciales parciales
resolucio´n de ecuaciones,resolucio´n de ecuaciones
resolucio´ndeproblemas,resolucio´ndeproblemas
resolución de problemas,resolución de problemas
riemman,riemman
rijndael,rijndael
rollos convectivos horizontales,rollos convectivos horizontales
roslyn,roslyn
rows of the pade´ table,rows of the pade´ table
s-caja,s-caja
s-cajas,s-cajas
saddle-point problems,saddle-point problems
seccio´nco´nica,seccio´nco´nica
secuenciación,secuenciación
secuencias dida´cticas,secuencias dida´cticas
secuestro de carbono,secuestro de carbono
segmentacio´n,segmentacio´n
segmentación,segmentación
seguridad,seguridad
seleccio´n del personal,seleccio´n del personal
selección de modelos,selección de modelos
sema´nticamatema´tica,sema´nticamatema´tica
semidefinite programming,semidefinite programming
semimartingalas,semimartingalas
servicios,servicios
shiftrows,shiftrows
sig,sig
sig web,sig web
simulacio´n,simulacio´n
simulación,simulación
sir,sir
sistema de lamé-navier,sistema de lamé-navier
sistema inmune,sistema inmune
sistemadeecuacionesdiferenciales,sistemadeecuacionesdiferenciales
sistemas de ecuaciones lineales,sistemas de ecuaciones lineales
situaciones didácticas,situaciones didácticas
software ejbca,software ejbca
software engineering projects,software engineering projects
software product lines,software product lines
solidez del conocimiento,solidez del conocimiento
solucionador,solucionador
solucio´ndesistemasdeedosnolineales,solucio´ndesistemasdeedosnolineales
sostenibilidad,sostenibilidad
specularreflection,specularreflection
splineracionaldebe´zier,splineracionaldebe´zier
straight line,straight line
stress,stress
suceptibles-infectados-recuperados,suceptibles-infectados-recuperados
supervisedlearning,supervisedlearning
sympy,sympy
s´ındromedeguillain-barre´,s´ındromedeguillain-barre´
tabladeevaluacio´ndestress,tabladeevaluacio´ndestress
tablas de contingencia,tablas de contingencia
tasa de transmisión,tasa de transmisión
tasadecontagiovariable,tasadecontagiovariable
tasaderecuperación,tasaderecuperación
tasadetransmisión,tasadetransmisión
taxicab geometry,taxicab geometry
tecnología,tecnología
tecnologíainformática,tecnologíainformática
tecnologías de la información y las comunicaciones,tecnologías de la información y las comunicaciones
teléfono inteligente,teléfono inteligente
teorema de los ceros de hilbert,teorema de los ceros de hilbert
teor´ıa de los subconjuntos borrosos,teor´ıa de los subconjuntos borrosos
teor´ıa socioformativa,teor´ıa socioformativa
teor´ıadegra´ficas,teor´ıadegra´ficas
test de aleatoriedad,test de aleatoriedad
tic,tic
tiempoconstante,tiempoconstante
tipo de representación,tipo de representación
toma de decisio´n,toma de decisio´n
tomograf´ıa,tomograf´ıa
tomografía computarizada de abdomen,tomografía computarizada de abdomen
topological dimension,topological dimension
torus-based cryptography,torus-based cryptography
toxin elimination,toxin elimination
transferenciademasas,transferenciademasas
transformaciones afines,transformaciones afines
transformada wavelet continua,transformada wavelet continua
transformadawavelet,transformadawavelet
transformadawaveletlogar´ıtmica,transformadawaveletlogar´ıtmica
triangularmatrixalgebras,triangularmatrixalgebras
tripleporosidad,tripleporosidad
triángulo de chevallard,triángulo de chevallard
turismo de naturaleza,turismo de naturaleza
unsteady heat equation,unsteady heat equation
valoración,valoración
valores perdidos,valores perdidos
variables catego´ricas,variables catego´ricas
variables de estimación,variables de estimación
varianza del coeficiente de confusión,varianza del coeficiente de confusión
varianza muestral,varianza muestral
vector,vector
vector de características,vector de características
versión débil y fuerte,versión débil y fuerte
virus,virus
vnd,vnd
vorticidad,vorticidad
weak passwords,weak passwords
web2.0,web2.0
wiener process,wiener process
wms,wms
xml,xml
zika,zika
zona segura,zona segura
álgebra conmutativa,álgebra conmutativa
álgebra hereditaria,álgebra hereditaria
álgebradematricestriangulares,álgebradematricestriangulares
